id_cliente;nombre;sexo;fecha_nacimiento;distrito;region;fecha_alta;segmento_programa
1;Susana Pacheco Tejada;F;1997-09-03;Piura;Piura;2024-01-01;Oro
2;Avelino Bustos Sierra;M;1994-10-05;Comas;Lima;2024-01-01;Bronce
3;EDMUNDO GARCÍA SERNA;M;2006-07-17;Comas;Lima;2024-01-01;Bronce
4;homero maldonado hurtado;M;2002-07-29;Comas;Lima;2024-01-01;Plata
5;Salustiano Cruz Pacheco;M;1976-04-17;Socabaya;Arequipa;2024-01-01;Bronce
6;Bautista Hernández Zambrano;M;1999-12-02;Cusco;Cusco;2024-01-01;No afiliado
7;Violeta Avendaño Pizarro;F;1994-06-21;Sullana;Piura;2024-01-01;No afiliado
8;Margarita Requejo Villalba;F;1960-12-07;San Juan de Lurigancho;Lima;2024-01-01;Bronce
9;Gloria Vilchez Suárez;F;1995-02-02;José Luis Bustamante y Rivero;Arequipa;2024-01-01;No afiliado
10;SANTIAGO MATÍAS CHÁVEZ;M;1972-06-19;Chiclayo;Lambayeque;2024-01-01;Plata
11;Brayan Palacios Campos;M;1984-02-14;Villa El Salvador;Lima;2024-01-01;Plata
12;Asunción Matías Pacheco;F;1978-03-03;La Esperanza;La Libertad;2024-01-01;Bronce
13;MARTINA ORTEGA PONCE;F;1987-05-31;San Martín de Porres;Lima;2024-01-01;Plata
14;Salvador Montoya Pacheco;M;2000-05-07;Cerro Colorado;Arequipa;2024-01-01;Bronce
15;Eduardo Portilla Avendaño;M;2007-11-29;Trujillo;La Libertad;2024-01-01;Bronce
16;FRANCISCO MATÍAS ACUÑA;M;1964-10-14;San Miguel;Lima;2024-01-01;Plata
17;oihana benavides valverde;F;1977-03-24;Ate;Lima;2024-01-01;No afiliado
18;Trinidad Sánchez Chávez;F;1971-11-21;Iquitos;Loreto;2024-01-01;Bronce
19;Blas Merino Gómez;M;1976-05-19;San Martín de Porres;Lima;2024-01-01;No afiliado
20;Raquel Escalante Velarde;F;2004-07-30;Chiclayo;Lambayeque;2024-01-01;Oro
21;Alejandro Maldonado Quispe;M;1966-05-02;Pueblo Libre;Lima;2024-01-01;No afiliado
22;Elisa Ríos Valverde;F;1949-11-02;Huancán;Junín;2024-01-01;Plata
